Temp (oC),Heating rate (oC/min),Holding time (h),C (%),H (%),N (%),O (%),Yield (%),Surface Area (m2/g),C (%),H (%),N (%),O (%)
350,20,5,48.2,5.88,0.22,45.5,35,0.5,71.6,3.88,0.25,23.2
450,20,3,48.2,5.88,0.22,45.5,33,1.6,77.6,3.52,0.27,17.3
600,20,2,48.2,5.88,0.22,45.5,21,256,84.7,1.83,0.3,11.3
500,10,2,40.87,5.4,0.27,53.46,36,73,60,1.68,0.25,38.07
300,10,2,45.51,6.17,0.15,47.83,43.7,0,69.13,4.85,0.39,24.36
450,10,2,45.51,6.17,0.15,47.83,28.5,12.9,83.62,3.24,0.17,11.46
600,10,2,45.51,6.17,0.15,47.83,22.7,401,81.81,2.17,0.73,14.03
300,10,2,45.82,6.25,0.36,47.18,33.4,5.2,69.5,4.2,0.9,24.36
450,10,2,45.82,6.25,0.36,47.18,28,13.6,78.6,3.52,0.92,15.46
600,10,2,45.82,6.25,0.36,47.18,26.5,388.3,76.45,2.93,0.79,18.33
300,10,2,46.52,6.11,0.2,46.89,40.5,1.3,66.2,4.7,0.4,27.72
450,10,2,46.52,6.11,0.2,46.89,26.3,10.2,76.89,3.55,0.23,18.11
600,10,2,46.52,6.11,0.2,46.89,24,375.5,80.89,2.43,0.15,14.87
350,5,2,35,5.2,0.5,39.4,91,0.83,50.81,3.7,0.73,17.8
550,5,2,35,5.2,0.5,39.4,55,5.24,53.2,2.11,0.75,6.88
350,5,2,45.22,6.34,1.15,46.94,70,0.69,62.37,4.64,1.65,22.58
550,5,2,45.22,6.34,1.15,46.94,42,0.18,72.09,2.85,1.36,12.95
350,5,2,53.5,6.6,1.5,35.5,65,0.43,67.89,4.42,0.53,24.19
550,5,2,53.5,6.6,1.5,35.5,38,1.56,80.7,2.94,0.57,11.79
350,5,2,37.1,5.6,0.5,44.7,70,0.97,61.85,4.43,1.13,20.47
550,5,2,37.1,5.6,0.5,44.7,42.5,0.75,67.84,2.45,1.12,9.93
350,5,2,41,6.1,3.6,39.7,98,1.18,40.41,3.55,2.96,12.2
550,5,2,41,6.1,3.6,39.7,58,8.72,37.38,1.56,2.32,6.5
350,5,2,49.7,6.2,0.7,42.6,67,1.08,68.47,4.6,0.52,23.93
550,5,2,49.7,6.2,0.7,42.6,40,23.1,83.8,2.75,0.82,9.76
350,5,2,41.8,5.7,1.09,37.81,70,1.02,63.53,4.08,0.94,24.2
550,5,2,41.8,5.7,1.09,37.81,42,0.72,74.46,2.33,0.96,12.55
300,10,2,43.71,5.97,1.49,48.82,48,7.03,57.71,4.53,2.14,35.61
500,10,2,43.71,5.97,1.49,48.82,33,12.56,61.58,2.82,1.86,33.75
700,10,2,43.71,5.97,1.49,48.82,24,5.24,64.43,1.09,1.21,33.27
300,10,2,42.41,5.67,2.76,33.58,48,3.56,61.31,8.88,4.51,25.3
500,10,2,42.41,5.67,2.76,33.58,33,9.02,44.77,9.08,5.69,40.46
700,10,2,42.41,5.67,2.76,33.58,28,8.95,40.05,9.67,6.74,43.54
400,5,2,28.49,4.55,3.87,34.7,64.7,70.29,31.92,1.74,2.35,13.56
800,5,2,28.49,4.55,3.87,34.7,39.3,44.49,40.51,0.7,2,10.02
600,5,2,28.49,4.55,3.87,34.7,47.8,61.81,36.64,0.99,2.31,11.76
600,10,2,33.94,4.53,2.35,46.89,45.5,336,30.81,1.38,2.74,39.87
600,10,2,36.06,3.43,1.23,55.82,36.3,2.6,50.78,2.08,1.83,36.7
600,5,0,46.55,6.087,4.49,42.39,34.4,8.8,59.24,2.445,4.63,33.65
650,5,2,60.87,3.99,1.67,18.92,20,7,63.55,1.59,1.26,9.23
800,10,1,46.84,8.18,3.86,40.74,25,0.2,63.78,8.18,3.86,40.74
400,15,2,22.52,3.36,2.06,64.82,68,19.8,27.32,2.35,2.2,9.34
450,20,2,48.33,6.12,9.12,35.82,20,0,63.36,3.56,7.11,25.6
400,5,1,38.91,4.74,1.37,35.31,30,87,45.5,4.4,1.1,49
500,5,1,38.91,4.74,1.37,35.31,28,96,51.9,3.2,1.3,43.6
600,5,1,38.91,4.74,1.37,35.31,25,60,65.3,2.9,1.7,30.1
550,40,0,44,5.46,1.61,48.8,28,0,73.7,1.89,1.82,21.6
